code_dept,nb_arrondissement,nb_canton,nb_commune,pop_municipale,pop_totale,annee
58,4,17,309,204452,209860,2019
59,6,41,648,2608346,2638696,2019
60,4,21,679,829419,847158,2019
61,3,21,385,279942,288008,2019
62,7,39,890,1465278,1487300,2019
63,5,31,464,662152,676745,2019
64,3,27,546,682621,701418,2019
65,3,17,469,229567,235709,2019
66,3,17,226,479979,487853,2019
67,5,23,514,1140057,1156224,2019
68,4,17,366,767086,781389,2019
69,2,13,267,1875747,1902247,2019
70,2,17,539,235313,241538,2019
71,5,29,565,551493,567306,2019
72,3,21,354,566412,579606,2019
73,3,19,273,436434,449127,2019
74,4,17,279,826094,847627,2019
75,1,,1,2165423,2182174,2019
76,3,35,708,1255633,1276532,2019
77,5,23,507,1421197,1437729,2019
78,4,21,259,1448207,1473221,2019
79,3,17,256,374878,385150,2019
80,4,23,772,570559,580535,2019
81,2,23,314,389844,400343,2019
82,2,15,195,260669,266481,2019
83,3,23,153,1076711,1093822,2019
84,3,17,151,561469,572613,2019
85,3,17,258,685442,704403,2019
86,3,19,266,438435,448749,2019
87,3,21,195,372359,379249,2019
88,3,17,507,364499,375855,2019
89,3,21,423,335707,344022,2019
90,1,9,101,141318,144447,2019
91,3,21,194,1301659,1316011,2019
92,3,23,36,1624357,1640721,2019
93,3,21,40,1644903,1651739,2019
94,3,25,47,1407124,1415845,2019
95,3,21,184,1249674,1259985,2019
971,2,21,32,384239,389995,2019
972,4,,34,364508,369406,2019
973,2,,22,281678,284085,2019
974,4,25,24,861210,870870,2019
01,4,23,393,657856,673801,2020
02,5,21,799,529374,541176,2020
03,3,19,317,335628,344455,2020
04,4,15,198,165451,170060,2020
05,2,15,162,140605,144981,2020
06,2,27,163,1097410,1111390,2020
07,3,17,335,329325,338147,2020
08,4,19,449,269701,275801,2020
09,3,13,327,153954,157899,2020
10,3,17,431,311435,318352,2020
11,3,19,433,375217,383935,2020
12,3,23,285,279554,289842,2020
13,4,29,119,2048070,2072395,2020
14,4,25,528,697547,711381,2020
15,3,15,246,144379,149293,2020
16,3,19,364,351718,360686,2020
17,5,27,463,655709,671563,2020
18,3,19,287,300933,307916,2020
19,3,19,279,239190,246927,2020
21,3,23,698,535078,546936,2020
22,4,27,348,603640,621729,2020
23,2,15,256,115995,119454,2020
24,4,25,503,412807,423298,2020
25,3,19,571,545209,558880,2020
26,3,19,363,517709,530784,2020
27,3,23,585,599668,612766,2020
28,4,15,365,431443,441538,2020
29,4,27,277,917179,942234,2020
2A,2,11,124,160814,163182,2020
2B,3,15,236,182887,185578,2020
30,3,23,351,751457,765051,2020
31,3,27,586,1415757,1439027,2020
32,3,17,461,191819,198462,2020
33,6,33,535,1636391,1661400,2020
34,3,25,342,1188973,1206907,2020
35,4,27,333,1088855,1113810,2020
36,4,13,241,218707,224356,2020
37,3,19,272,612119,624315,2020
38,3,29,512,1277513,1302470,2020
39,3,17,494,258798,267920,2020
40,2,15,327,418122,430346,2020
41,3,15,267,329357,337766,2020
42,3,21,323,768508,782608,2020
43,3,19,257,227489,234272,2020
44,3,31,207,1445171,1474310,2020
45,3,21,325,682304,696792,2020
46,3,17,313,174670,180159,2020
47,4,21,319,330844,339007,2020
48,2,13,152,76633,80257,2020
49,4,21,177,820713,840567,2020
50,4,27,446,495093,510506,2020
51,4,23,613,566659,578058,2020
52,3,17,426,171798,176692,2020
53,3,17,240,306538,315997,2020
54,4,23,591,732590,744205,2020
55,3,17,499,183001,188217,2020
56,3,21,249,764161,785666,2020
57,5,27,725,1049155,1067572,2020
58,4,17,309,202670,207910,2020
59,6,41,648,2607746,2637650,2020
60,4,21,679,829699,847162,2020
61,3,21,385,278475,286279,2020
62,7,39,890,1462167,1483731,2020
63,5,31,464,661852,676340,2020
64,3,27,546,687240,706060,2020
65,3,17,469,229788,235759,2020
66,3,17,226,482765,490614,2020
67,5,23,514,1148073,1164239,2020
68,4,17,366,767842,781976,2020
69,2,13,267,1883437,1909568,2020
70,2,17,539,234601,240771,2020
71,5,29,565,551063,566292,2020
72,3,21,354,566993,580107,2020
73,3,19,273,439750,452308,2020
74,4,17,279,835206,856460,2020
75,1,,1,2145906,2162598,2020
76,3,35,708,1254739,1275382,2020
77,5,23,507,1428636,1444950,2020
78,4,21,259,1449723,1474222,2020
79,3,17,256,374481,384677,2020
80,4,23,772,568748,578691,2020
81,2,23,314,391066,401496,2020
82,2,15,195,262316,268105,2020
83,3,23,153,1085189,1102299,2020
84,3,17,151,561941,572909,2020
85,3,17,257,692705,711865,2020
86,3,19,266,439332,449545,2020
87,3,21,195,372123,378758,2020
88,3,17,507,362397,373380,2020
89,3,21,423,334156,342535,2020
90,1,9,101,140120,143160,2020
91,3,21,194,1306118,1320115,2020
92,3,23,36,1626213,1642365,2020
93,3,21,40,1655422,1662063,2020
94,3,25,47,1407972,1416731,2020
95,3,21,184,1251804,1261690,2020
971,2,21,32,383559,388727,2020
972,4,,34,361225,365734,2020
973,2,,22,285133,287355,2020
974,4,25,24,863083,872635,2020
01,4,23,392,663202,678981,2021
02,5,21,798,527468,539099,2021
03,3,19,317,334872,343485,2021
04,4,15,198,166077,170650,2021
05,2,15,162,140976,145357,2021
06,2,27,163,1103941,1117561,2021
07,3,17,335,331415,340043,2021
08,4,19,449,268859,274783,2021
09,3,13,326,154596,158578,2021
10,3,17,431,311329,318127,2021
11,3,19,433,376028,384450,2021
12,3,23,285,279649,289766,2021
13,4,29,119,2056943,2080998,2021
14,4,25,528,700633,714356,2021
15,3,15,246,144226,149155,2021
16,3,19,363,350867,359610,2021
17,5,27,463,661404,677039,2021
18,3,19,287,299573,306465,2021
19,3,19,279,239784,247459,2021
21,3,23,698,535503,547138,2021
22,4,27,348,605917,623633,2021
23,2,15,256,115702,119065,2021
24,4,25,503,413730,424030,2021
25,3,19,571,547096,560754,2021
26,3,19,363,519458,532390,2021
27,3,23,585,598934,612288,2021
28,4,15,365,431277,441129,2021
29,4,27,277,921638,946331,2021
2A,2,11,124,162942,165307,2021
2B,3,15,236,184655,187252,2021
30,3,23,351,756543,770043,2021
31,3,27,586,1434367,1457716,2021
32,3,17,461,192437,198905,2021
33,6,33,535,1654970,1680669,2021
34,3,25,342,1201883,1219776,2021
35,4,27,333,1098325,1122750,2021
36,4,13,241,217228,222879,2021
37,3,19,272,612160,624289,2021
38,3,29,512,1284948,1309888,2021
39,3,17,494,258555,267533,2021
40,2,15,327,422976,435050,2021
41,3,15,267,328504,336885,2021
42,3,21,323,769029,782907,2021
43,3,19,257,227284,233980,2021
44,3,31,207,1457806,1486833,2021
45,3,21,325,684561,699096,2021
46,3,17,313,174942,180437,2021
47,4,21,319,331229,339257,2021
48,2,13,152,76519,80081,2021
49,4,21,177,824743,844693,2021
50,4,27,445,495508,510539,2021
51,4,23,611,565292,576399,2021
52,3,17,426,171042,175896,2021
53,3,17,240,305933,315118,2021
54,4,23,591,732486,743895,2021
55,3,17,499,181919,187041,2021
56,3,21,249,768687,789829,2021
57,5,27,725,1049942,1068326,2021
58,4,17,309,202417,207621,2021
59,6,41,648,2611293,2641207,2021
60,4,21,679,828838,846339,2021
61,3,21,385,276973,284521,2021
62,7,39,890,1461441,1482950,2021
63,5,31,464,662285,676534,2021
64,3,27,546,693027,711741,2021
65,3,17,469,230956,236859,2021
66,3,17,226,487307,495307,2021
67,5,23,514,1152662,1168423,2021
68,4,17,366,767083,781133,2021
69,2,13,267,1893692,1919547,2021
70,2,17,539,234296,240393,2021
71,5,29,564,549288,564586,2021
72,3,21,354,566058,579051,2021
73,3,19,273,442468,454800,2021
74,4,17,279,841482,862452,2021
75,1,,1,2133111,2149216,2021
76,3,35,708,1255918,1276398,2021
