code_dept,annee,bure__activites_financieres__autres_formes,bure__activites_financieres__entrepreneur_individuel,bure__activites_financieres__sarl,bure__activites_financieres__sas_sasu,bure__activites_financieres__total,bure__administration_sante_education__autres_formes,bure__administration_sante_education__entrepreneur_individuel,bure__administration_sante_education__sarl,bure__administration_sante_education__sas_sasu,bure__administration_sante_education__total,bure__autres_services__autres_formes,bure__autres_services__entrepreneur_individuel,bure__autres_services__sarl,bure__autres_services__sas_sasu,bure__autres_services__total,bure__commerce_transport_hebergement__autres_formes,bure__commerce_transport_hebergement__entrepreneur_individuel,bure__commerce_transport_hebergement__sarl,bure__commerce_transport_hebergement__sas_sasu,bure__commerce_transport_hebergement__total,bure__construction__autres_formes,bure__construction__entrepreneur_individuel,bure__construction__sarl,bure__construction__sas_sasu,bure__construction__total,bure__immobilier__autres_formes,bure__immobilier__entrepreneur_individuel,bure__immobilier__sarl,bure__immobilier__sas_sasu,bure__immobilier__total,bure__industrie_extractive_energie__autres_formes,bure__industrie_extractive_energie__entrepreneur_individuel,bure__industrie_extractive_energie__sarl,bure__industrie_extractive_energie__sas_sasu,bure__industrie_extractive_energie__total,bure__industrie_manufacturiere__autres_formes,bure__industrie_manufacturiere__entrepreneur_individuel,bure__industrie_manufacturiere__sarl,bure__industrie_manufacturiere__sas_sasu,bure__industrie_manufacturiere__total,bure__information_communication__autres_formes,bure__information_communication__entrepreneur_individuel,bure__information_communication__sarl,bure__information_communication__sas_sasu,bure__information_communication__total,bure__total__autres_formes,bure__total__entrepreneur_individuel,bure__total__sarl,bure__total__sas_sasu,bure__total__total
88,2013,8,20,33,17,78,4,196,12,4,216,0,283,20,4,307,1,684,150,51,886,5,253,79,38,375,4,29,23,4,60,1,210,33,22,266,4,266,53,18,341,0,52,9,5,66,27,1993,412,163,2595
88,2014,9,26,24,11,70,6,230,8,4,248,1,273,12,9,295,7,658,154,61,880,3,286,57,22,368,6,35,14,2,57,1,189,28,13,231,3,278,48,40,369,0,39,4,7,50,36,2014,349,169,2568
88,2015,6,24,30,19,79,6,248,6,7,267,0,220,14,8,242,2,591,123,75,791,1,221,49,35,306,3,23,17,10,53,1,126,29,27,183,6,233,32,43,314,0,56,4,12,72,25,1742,304,236,2307
88,2016,4,18,24,13,59,5,209,3,7,224,1,230,19,12,262,3,666,124,124,917,5,186,42,44,277,1,40,15,13,69,1,124,29,22,176,3,232,31,46,312,0,48,8,9,65,23,1753,295,290,2361
88,2017,14,15,36,19,84,10,220,10,5,245,2,196,16,19,233,5,664,126,106,901,6,188,40,46,280,4,57,12,17,90,1,154,18,33,206,6,252,48,41,347,0,42,4,11,57,48,1788,310,297,2443
88,2018,15,11,19,14,59,3,217,4,6,230,1,250,17,22,290,1,760,93,123,977,3,207,52,49,311,2,72,15,22,111,1,136,17,29,183,5,287,43,57,392,0,54,4,13,71,31,1994,264,335,2624
88,2019,10,19,25,28,82,6,240,7,8,261,0,301,18,20,339,1,799,89,108,997,3,284,57,63,407,4,75,22,23,124,0,193,14,31,238,2,399,40,65,506,0,58,4,15,77,26,2368,276,361,3031
88,2020,9,15,7,32,63,6,228,8,9,251,2,260,11,17,290,4,995,88,120,1207,2,254,61,67,384,3,105,18,22,148,1,187,18,24,230,7,381,34,91,513,0,68,2,13,83,34,2493,247,395,3169
88,2021,13,18,19,30,80,5,343,7,8,363,0,340,18,18,376,5,872,122,168,1167,3,291,71,71,436,6,84,33,53,176,1,246,20,41,308,7,569,51,86,713,0,101,6,11,118,40,2864,347,486,3737
88,2022,6,13,17,63,99,3,307,14,18,342,0,405,19,25,449,12,645,95,166,918,6,302,67,80,455,10,97,32,49,188,0,311,24,43,378,4,537,56,105,702,0,117,6,11,134,41,2734,330,560,3665
88,2023,13,15,18,51,97,4,297,11,10,322,1,443,18,26,488,1,666,90,136,893,12,292,63,75,442,4,78,30,48,160,1,367,15,50,433,4,623,39,86,752,0,92,1,14,107,40,2873,285,496,3694
88,2024,14,21,14,48,97,5,326,18,16,365,2,435,19,18,474,2,749,72,160,983,3,277,40,67,387,4,83,23,41,151,2,454,14,53,523,2,716,46,97,861,0,138,6,8,152,34,3199,252,508,3993
89,2012,27,13,16,7,63,7,201,13,1,222,1,230,23,3,257,5,521,153,27,706,1,245,90,12,348,5,45,13,2,65,3,123,13,7,146,9,242,60,14,325,1,52,9,4,66,59,1672,390,77,2198
89,2013,42,11,23,11,87,5,203,7,2,217,3,236,19,11,269,1,645,124,51,821,2,214,69,19,304,8,33,14,2,57,0,87,15,12,114,14,255,55,37,361,0,48,7,0,55,75,1732,333,145,2285
89,2014,30,15,19,20,84,8,226,5,5,244,3,199,16,6,224,6,645,131,76,858,1,212,48,27,288,5,24,8,4,41,1,119,15,16,151,8,234,31,29,302,1,43,9,5,58,63,1717,282,188,2250
89,2015,21,16,19,14,70,6,200,6,6,218,2,213,14,15,244,5,575,114,75,769,2,179,50,32,263,0,56,8,5,69,1,100,18,14,133,12,212,37,39,300,0,31,6,7,44,49,1582,272,207,2110
89,2016,18,10,11,9,48,6,215,10,8,239,1,173,10,17,201,7,619,79,118,823,4,172,32,49,257,2,42,7,11,62,2,77,17,15,111,12,224,38,66,340,2,41,3,11,57,54,1573,207,304,2138
89,2017,23,9,19,11,62,4,235,7,7,253,2,195,12,23,232,11,856,70,123,1060,3,138,27,52,220,1,60,7,12,80,1,107,10,16,134,8,229,32,74,343,0,49,3,8,60,53,1878,187,326,2444
89,2018,33,19,12,8,72,1,233,6,15,255,1,247,6,19,273,7,796,84,137,1024,1,180,27,37,245,5,125,9,17,156,0,126,12,14,152,14,310,37,66,427,0,44,5,17,66,62,2080,198,330,2670
89,2019,30,17,6,19,72,5,241,4,10,260,2,293,15,23,333,6,818,74,150,1048,8,217,59,46,330,4,108,13,16,141,1,138,18,23,180,7,375,37,68,487,0,96,7,20,123,63,2303,233,375,2974
